Entity,Code,Year,above 10$ a day,5.50 - 10$ a day,3.20 - 5.50$ a day,1.9 - 3.20$ a day,below 1.90$ a day
Canada,CAN,1987,25952625,398250,140715,0,58410
Canada,CAN,1991,27536175,498609,73242,0,61974
Canada,CAN,1994,28527800,439561,69864,0,72775
Canada,CAN,1997,29240250,449850,149950,0,149950
Canada,CAN,1998,29575424,372075,151250,0,151250
Canada,CAN,2000,30077675,464627,73848,76925,76925
Canada,CAN,2004,31360001,403200,160000,0,76800
Canada,CAN,2007,32396648,328900,82225,0,82225
Canada,CAN,2010,33588276,255075,81624,0,85025
Canada,CAN,2013,34446999,351500,175750,0,175750
Cape Verde,CPV,2001,73935,92610,114885,95580,72990
Cape Verde,CPV,2007,104566,125195,130536.00000000001,90209,39494
Central African Republic,CAF,1992,31620.000000000004,68200,139500,248310,2612370
Central African Republic,CAF,2003,37810,150842,404368,809134,2577846
Central African Republic,CAF,2008,121365,190530,424125,731670,2882310
Chad,TCD,2003,81345,294525,971465,2117775,5884890
Chad,TCD,2011,410486,1279388,2423589,3453490,4723047
Chile,CHL,1987,3157572,2791204,3009010,2162962,1469253
Chile,CHL,1990,3942872,3194812,3100808,1925096,1076412
Chile,CHL,1992,4578083,3651257,3159137,1639033,642490
Chile,CHL,1994,5193574,3690171,2999761,1496358,710136
Chile,CHL,1996,6059550,3917900,2717300,1306450,498800
Chile,CHL,1998,6565001,3993498,2639997,1162909,528595
Chile,CHL,2000,6247444,4277378,2849042,1220800,665336
Chile,CHL,2003,6536460,4484040,2965660,1156560,657280
Chile,CHL,2006,7670400,4847040,2589984,829056,383520
Chile,CHL,2009,8356095,5020389,2330955,686664,435897
Chile,CHL,2011,9446219,4896325,2003120,536795,267540
Chile,CHL,2013,11397888,4293414,1316484,291582,160632
Chile,CHL,2015,12055488,3905424,1253856,314352,230880
Chile,CHL,2017,13454470,3445745,830300,184110,135375
China,CHN,1981,15,397583,6460266,111713260,875318909
China,CHN,1984,311079,2592041,35459595,218874820,779592468
China,CHN,1987,325156,12032959,94203003,322501890,654976990
China,CHN,1990,3405576,15892700,93993713,270175170,751722839
China,CHN,1993,7070615,36885254,152018680,314997010,667468445
China,CHN,1996,17410961,75853394,236691710,380240840,507353088
China,CHN,1999,29564707,109238890,257939149.99999997,352270510,503726746
China,CHN,2002,60946999,187322510,293339720,333416140,405374634
China,CHN,2005,118899320,265567690.00000003,356176330,321758090,241318573
China,CHN,2008,199493740,322024900,344279140,262415129.99999997,196447083
China,CHN,2010,271688870,351148860,333089810,232226460,149555984
China,CHN,2011,306730470,376356380,345038180,209684300,106320686
China,CHN,2012,361852540,390082150,326194060,185045900,87525360
China,CHN,2013,429203550,435176030,328893190,138859970,25247269
China,CHN,2014,488954380,445843410,300002990,110915150,18554071
China,CHN,2015,542317500,456204860,277260680,85427010,10009906
China-Rural,,1981,2,0,635132,36203674,757101196
China-Rural,,1984,322637,1855225,21052795,101311460,682077881
China-Rural,,1987,2,8785339,43762512,176856320,591655823
China-Rural,,1990,2505046,7682190,31229736,137861820,655741211
China-Rural,,1993,2339314,9273865,46118469,181215640,596532715
China-Rural,,1996,7460610,25946472,93423767,248107760,454021393
China-Rural,,1999,8567657,27008606,92286255,231898650,456208832
China-Rural,,2002,13560635,38868652,117867250,236838380,381275085
China-Rural,,2005,20682032,66092712.00000001,185389190,250582630,226603439
China-Rural,,2008,31301104,84272217,187948330,216416760,188231583
China-Rural,,2010,39869606,99504272,195001190,200163210,144671722
China-Rural,,2011,44834461,119270390,214527010,183861270,102706879
China-Rural,,2012,56551075,135774690,209655900,164962340,84565994
China-Rural,,2013,80361534,202307010,218634400,114929760,21557302
China-Rural,,2014,98035126,221655460,199439970,89985130,14914317
China-Rural,,2015,114471650,232360350,185497760,70232872,7627375
China-Urban,,1981,19992,319916,5818558,75541107,118250427
China-Urban,,1984,46044,667603,14457199,117522200,97516953
China-Urban,,1987,262989,3234650,50571045,145585720,63325584
China-Urban,,1990,840471,8224670,62825577,132254899.99999999,96024384
China-Urban,,1993,4732858,27608276,105906040,133685820,71027016
China-Urban,,1996,9870182,50050385,143156570,132120610,53392265
China-Urban,,1999,20964947,82243805,165623180,120461170,47476898
China-Urban,,2002,47427837,148384190,175542020,96528442,24107510
China-Urban,,2005,98234352,199462340,170801390,71125671,14746242
China-Urban,,2008,168114090,237776340,156400970,45927757,8260832.000000001
China-Urban,,2010,231857850,251612850,138087450,32003098,4938750
China-Urban,,2011,261863279.99999997,257110810.00000003,130558230.00000001,25731447,3666222
China-Urban,,2012,305266360,254365330,116485050,20136673,2936598
China-Urban,,2013,348785280,232931270,110169230,24034306,3669909
China-Urban,,2014,390920750,224218690,100524600,20948792,3627176
China-Urban,,2015,427851070,223742810,91856316,15220601,2359193
Colombia,COL,1992,9462516,9394953,8676640,4864608,3161284
Colombia,COL,1996,8344365,8721060,8762916,5924385,6297275
Colombia,COL,1999,8175045.000000001,8417948,8871897,6363236,7991874
Colombia,COL,2000,9421280,9283920,9283919,5797400,6613480
Colombia,COL,2001,7804495,8407049,9792512,6923211,8062733
Colombia,COL,2002,9910288,9527844,9548630,6638729,5944510
Colombia,COL,2003,10339396,10352039,9976905,6444735,5036925
Colombia,COL,2004,11021760,9992209,10385232,6672864,4647936
Colombia,COL,2005,12207780,10874449,10086569,5917744,4203459
Colombia,COL,2008,14992109,10915190,8930611,5414940,4647150
Colombia,COL,2009,15451883,11318665,9342895,5277803,4028754
Colombia,COL,2010,16714880,11613169,9179407,4867520,3545024
Colombia,COL,2011,17974592,12113010,8776131,4641000,2905266
Colombia,COL,2012,18925455,12010656,8710304,4327024,2906560
Colombia,COL,2013,20053225,12142710,8445456,4009698,2688912
Colombia,COL,2014,21204424,12329820,7976152,3875769,2403837
Colombia,COL,2015,21674562,12703781,8121931.999999999,3540082,2189642
Colombia,COL,2016,21688169,13072255,8144011.000000001,3541720,2203845
Colombia,COL,2017,22091314,13445179,8253574,3356388,1923544
Colombia-Urban,,1988,6289581,5473719,4608141,3023880,3204680
Colombia-Urban,,1989,6178161,5623679,5015840,3361680,3020640
Colombia-Urban,,1991,7091568,6136746,4998774,3169716,3023196
Comoros,COM,2004,97140,133020,167340,121680,80820
Comoros,COM,2013,107616,176092,191596,148884,135812
Congo,COG,2005,112344,282348,527496,810960,1986852
Congo,COG,2011,248501,546161,952512,1095479,1667347
Costa Rica,CRI,1981,336875,508129.99999999994,565215,434630,605150
Costa Rica,CRI,1986,338240,931280,781760,379680,369040
Costa Rica,CRI,1989,871270,867646,623932,295658,361494
Costa Rica,CRI,1990,984870,878540,638290,290780,307520
Costa Rica,CRI,1991,856056,908208,673842,371106,370788
Costa Rica,CRI,1992,954854,967894,694706,328282,314264
Costa Rica,CRI,1993,1219100,951900,630592,270874,267534
Costa Rica,CRI,1994,1403556,990241,568351,239757,228095
Costa Rica,CRI,1995,1397682,996840,618813,253071,243594
Costa Rica,CRI,1996,1324080,1020960.0000000001,653400,315000,286560
Costa Rica,CRI,1997,1444768,1051008,676384,270112,237728
Costa Rica,CRI,1998,1676896,1069172,617526,215644,190762
Costa Rica,CRI,1999,1585815,1109185,652190,257565,245245
Costa Rica,CRI,2000,1652172,1100793,639804,282567,254664
Costa Rica,CRI,2001,2066399.9999999998,1007200.0000000001,503200,234000,189200
Costa Rica,CRI,2002,2103486,1051946,507094.00000000006,215586,181888
Costa Rica,CRI,2003,2237634,991613,503447,215999,181307
Costa Rica,CRI,2004,2157012,1087305,566069,200701,178913
Costa Rica,CRI,2005,2280125,1106275,535925,194225,133450
Costa Rica,CRI,2006,2308436,1138271,534009,193519,135765
Costa Rica,CRI,2007,2577863,1096870,468464,151202,75601
Costa Rica,CRI,2008,2630091,1113702,456290,132900,97017
Costa Rica,CRI,2009,2760901,1047517,435530,137394,108658
Costa Rica,CRI,2010,2922010,1042405,402675,114660,68250
Costa Rica,CRI,2011,2961480,1030400,411700,121440,74980
Costa Rica,CRI,2012,3076905,1003004.9999999999,373860,120435,75795
Costa Rica,CRI,2013,3142983,988629,391401,110685,76302
Costa Rica,CRI,2014,3210144,982940,385084,112812,69020
Costa Rica,CRI,2015,3291483,963443,362193,119769,73112
Costa Rica,CRI,2016,3347082,994356,335826,121014,61722
Costa Rica,CRI,2017,3458604,976108,341736,84943,48609
Cote d'Ivoire,CIV,1985,2552956,2975042,2728740,1267280,695982
Cote d'Ivoire,CIV,1986,2084706.0000000002,3214674,3343176,1648224,329220
Cote d'Ivoire,CIV,1987,1755486,3036010,3343468,2138982,746054
Cote d'Ivoire,CIV,1988,1017522,2721386,3743476,2714534,1223082
Cote d'Ivoire,CIV,1992,810390,2239128,3813600,3708726,3048156
Cote d'Ivoire,CIV,1995,1014891.9999999999,2121387,4190428,4362000,2851294
Cote d'Ivoire,CIV,1998,951212,1892897,4165323,4770352,4100215.9999999995
Cote d'Ivoire,CIV,2002,1017883.0000000001,2285892,4248702,5787684,4029840
Cote d'Ivoire,CIV,2008,1125151,2616900,4623450,5452200,5682300
Cote d'Ivoire,CIV,2015,1180921,2918793,5735903,6755053,6519331
Croatia,HRV,1998,4381200,111150,7650,0,0
Croatia,HRV,1999,3574025,863590,87360,14105,10920
Croatia,HRV,2000,3507674,823537,85942,8860,3987
Croatia,HRV,2001,3366408,941724,117660,10212,3996.0000000000005
Croatia,HRV,2004,4220220,198468,14652,6660,0
Croatia,HRV,2008,4138949,265800,19935,5316,0
Croatia,HRV,2009,4091548.0000000005,315416,19492,2215,1329
Croatia,HRV,2010,4089826.0000000005,301886,26078,2210,0
Croatia,HRV,2011,3306728,674100,214000,53500,31672
Croatia,HRV,2012,3214029,746396,204533,73017,32024.999999999996
Croatia,HRV,2013,3142602,808548,213000,63900,31950
Croatia,HRV,2014,3254200,720800,185712,36888,42400
Croatia,HRV,2015,3349920,619920,178080,20580,31500
Cyprus,CYP,2004,1002626.9999999999,4848,2525,0,0
Cyprus,CYP,2005,1024850,5150,0,0,0
Cyprus,CYP,2006,1047375,2625,0,0,0
Cyprus,CYP,2007,1057456,2544,0,0,0
Cyprus,CYP,2008,1077948,2052,0,0,0
Cyprus,CYP,2009,1095490,2310,0,2200,0
Cyprus,CYP,2010,1104783,2553,2664,0,0
Cyprus,CYP,2011,1111936,6160,1904,0,0
Cyprus,CYP,2012,1134984,5016,0,0,0
Cyprus,CYP,2013,1126548,10602,0,2850,0
Cyprus,CYP,2014,1129990,17480,0,2530,0
Cyprus,CYP,2015,1148748,8584,2668,0,0
Czech Republic,CZE,1993,8594560,1697219,34089,2066,2066
Czech Republic,CZE,1996,9480984,754392,56760,12384,15480
Czech Republic,CZE,2004,9385020,688500,126480.00000000001,0,0
Czech Republic,CZE,2005,9521846,612600,75554,0,0
Czech Republic,CZE,2006,9654272,509951.99999999994,55296,20480,0
Czech Republic,CZE,2007,9888000,362560,23690,25750,0
Czech Republic,CZE,2008,9967914,361224,26988,23874,0
Czech Republic,CZE,2009,10022400,341388,76212,0,0
Czech Republic,CZE,2010,10025025,367497,52350,25128,0
Czech Republic,CZE,2011,10055850,369600,52500,22050,0
Czech Republic,CZE,2012,10143201,289025,60958,16816,0
Czech Republic,CZE,2013,10041254,424604,44142,0,0
Czech Republic,CZE,2014,10137231,315900,76869,0,0
Czech Republic,CZE,2015,10180750,322830,46420,0,0
Democratic Republic of Congo,COD,2004,27374,125927.00000000001,689850,2414475,51492374
Democratic Republic of Congo,COD,2012,269024,1283028,4621658,9974506,52831783
Denmark,DNK,2003,5351192,13475,0,13475,11858
Denmark,DNK,2004,5360580,12420,15120,0,11880
Denmark,DNK,2005,5366342,27100,14634,0,11924
Denmark,DNK,2006,5386688,40256,0,0,13056
Denmark,DNK,2007,5393388,41496,12012,13104,0
Denmark,DNK,2008,5437296,14274,24705,0,13725
Denmark,DNK,2009,5438304,28152,14904,11592,27048
Denmark,DNK,2010,5482290,54390,13320,0,0
Denmark,DNK,2011,5500932,27850,41218,0,0
Denmark,DNK,2012,5493293,87204,9503,0,0
Denmark,DNK,2013,5542119,26928,16268.999999999998,11220,13464
Denmark,DNK,2014,5542428,58656,25380,0,13536
Denmark,DNK,2015,5628312,23856,15904.000000000002,0,11928
Djibouti,DJI,2002,45375,126450,219525,203925,154725
Djibouti,DJI,2012,94512,182248,262328,179696,161216
Djibouti,DJI,2013,72810,152190,273330,197280,204390
Djibouti,DJI,2017,84576,197664,292128,221184,164448
Dominican Republic,DOM,1986,3051789,1692639,993837,547638,344097
Dominican Republic,DOM,1989,1475584,1711424,1682560,1228480,941952
Dominican Republic,DOM,1992,2272374,2156589,1718847,928521,393669
Dominican Republic,DOM,1996,3146154,2318261,1487156,682550,395879
Dominican Republic,DOM,1997,3490032,2252976,1387200,607104,422688
Dominican Republic,DOM,2000,3750136,2223032,1486016,633440,467376
Dominican Republic,DOM,2001,3698370,2384670,1550340,725580,341040
Dominican Republic,DOM,2002,3777474,2349663,1468429,738188,496246
Dominican Republic,DOM,2003,3105414,2412033,1914198,941850,596505
Dominican Republic,DOM,2004,2519790,2422420,2120300,1266720,770770
Dominican Republic,DOM,2005,3249708,2591820,1883112,994224,521136.00000000006
Dominican Republic,DOM,2006,3692717,2533648,1855260,881717,406658
